dataset,index,M,N,K,GFLOPs,Time (ms)
cora,0,2708,16,1433,5330.444836,0.023296ms
citeseer,0,3327,16,3703,6786.466999,0.058092ms
pubmed,0,19717,16,500,7625.696109,0.041370ms
ppi,0,56944,16,50,2409.940451,0.037806ms
amazon0505,0,410236,16,96,7376.797320,0.170839ms
artist,0,50515,16,100,7006.630279,0.023071ms
com-amazon,0,334863,16,96,7114.149279,0.144599ms
soc-BlogCatalog,0,88784,16,128,7142.001300,0.050918ms
amazon0601,0,403394,16,96,8100.552217,0.152980ms
PROTEINS_full,0,43466,16,29,1654.044133,0.024387ms
OVCAR-8H,0,1889542,16,66,4789.044071,0.833300ms
Yeast,0,1710902,16,74,6391.542960,0.633871ms
DD,0,334925,16,89,6228.753962,0.153139ms
TWITTER-Real-Graph-Partial,0,580768,16,1323,7774.465994,3.162583ms
SW-620H,0,1888584,16,66,6178.696203,0.645555ms
cora,1,2708,7,16,110.620914,0.005484ms
citeseer,1,3327,6,16,114.776908,0.005565ms
pubmed,1,19717,3,16,270.837906,0.006989ms
ppi,1,56944,121,16,7926.357214,0.027817ms
amazon0505,1,410236,22,16,4570.735707,0.063186ms
artist,1,50515,12,16,2034.707331,0.009533ms
com-amazon,1,334863,22,16,4427.701071,0.053243ms
soc-BlogCatalog,1,88784,39,16,4803.795700,0.023066ms
amazon0601,1,403394,22,16,4547.194132,0.062454ms
PROTEINS_full,1,43466,2,16,291.483371,0.009544ms
OVCAR-8H,1,1889542,2,16,552.678638,0.218808ms
Yeast,1,1710902,2,16,549.182734,0.199383ms
DD,1,334925,2,16,543.850680,0.039414ms
TWITTER-Real-Graph-Partial,1,580768,2,16,530.246158,0.070098ms
SW-620H,1,1888584,2,16,552.734738,0.218675ms
